start,end,today,,Select region,Select your National Society,Visibility:,__version__,_id,_uuid,_submission_time,_validation_status,_index,INVOLVED IN VACCINATION ACTIVITIES,ISO3,Final involvement,Source
2021-02-17T19:41:34.853+01:00,2021-02-17T21:25:09.166+01:00,2021-02-17,,Africa,Togolese Red Cross,Public,vBBPRRPRGAkK8njaji7pcp,14876,891d5d2b-49c4-4e8f-9a7e-d3d42d382132,2021-02-17T20:25:09,,16,0,TGO,Yes,SA Tool
2021-02-17T12:24:06.566+02:00,2021-02-17T23:23:57.879+02:00,2021-02-17,,Africa,Namibia Red Cross,Public,vBBPRRPRGAkK8njaji7pcp,14891,791b1fa1-85bc-48ac-a792-9da2f96ada49,2021-02-17T21:22:00,,17,0,NAM,Yes,SA Tool
2021-02-18T10:00:15.719+01:00,2021-02-18T10:31:28.350+01:00,2021-02-18,,Africa,Red Cross Society of Guinea-Bissau,RCRC Movement,vBBPRRPRGAkK8njaji7pcp,14942,92120e80-82c7-417c-bc16-10eb8f488a27,2021-02-18T09:31:29,,18,0,GNB,Yes,SA Tool
2021-02-18T15:57:30.840+04:00,2021-02-18T16:15:44.385+04:00,2021-02-18,,Africa,Seychelles Red Cross Society,RCRC Movement,vBBPRRPRGAkK8njaji7pcp,15015,66e2f620-f9fe-4be4-9f6d-40ce5e413770,2021-02-18T12:15:46,,19,0,SYC,Yes,SA Tool
2021-02-10T18:54:28.116+02:00,2021-02-10T20:03:58.323+02:00,2021-02-10,,Middle East and North Africa,Egyptian Red Crescent Society,IFRC Secretariat,vBBPRRPRGAkK8njaji7pcp,12480,da989efa-d79d-45a6-880b-61d2726ebaab,2021-02-10T18:04:15,,2,0,EGY,Yes,SA Tool
2021-02-11T13:01:58.249+02:00,2021-02-11T13:34:41.816+02:00,2021-02-11,,Middle East and North Africa,The Palestine Red Crescent Society,IFRC Secretariat,vBBPRRPRGAkK8njaji7pcp,12602,41895c0c-37fe-4c80-ba5f-dd7e47681c48,2021-02-11T11:34:54,,3,0,PSE,Yes,SA Tool
2021-02-11T16:57:57.416+03:00,2021-02-11T17:13:47.416+03:00,2021-02-11,,Middle East and North Africa,Iraqi Red Crescent Society,RCRC Movement,vBBPRRPRGAkK8njaji7pcp,12627,04947a2e-8ed7-4aa7-9e1c-1ff2a1adc75c,2021-02-11T14:13:59,,4,0,IRQ,Yes,SA Tool
2021-02-16T21:24:37.612+01:00,2021-02-16T23:20:28.969+01:00,2021-02-16,,Middle East and North Africa,Tunisian Red Crescent,RCRC Movement,vBBPRRPRGAkK8njaji7pcp,14687,aa3265b6-b4ef-40a9-b132-acc798e16b0d,2021-02-16T22:20:10,,5,0,TUN,Yes,SA Tool
2021-02-17T12:20:15.740+01:00,2021-02-17T12:26:13.978+01:00,2021-02-17,,Middle East and North Africa,Algerian Red Crescent,IFRC Secretariat,vBBPRRPRGAkK8njaji7pcp,14769,23706611-035d-4e57-aed8-2e344abb7e8e,2021-02-17T11:26:26,,6,0,DZA,Yes,SA Tool
2021-02-16T14:39:20.058+01:00,2021-02-17T15:42:49.874+01:00,2021-02-16,,Middle East and North Africa,Moroccan Red Crescent,RCRC Movement,vBBPRRPRGAkK8njaji7pcp,14816,634439d7-64c0-4a77-87fd-3875333bcbe5,2021-02-17T14:43:02,,7,0,MAR,Yes,SA Tool
2021-01-26T13:19:34.830-04:00,2021-01-26T14:17:54.640-04:00,,,Americas,Grenada Red Cross Society,,vMPG6MGnijsu8tbJnDstLN,9384,f8cb0219-f7f9-421f-99cc-5f380f545499,2021-01-26T18:18:07,,1,0,GRD,Yes,SA Tool
2021-02-02T11:37:31.318-04:00,2021-02-02T11:53:35.425-04:00,,,Americas,The Guyana Red Cross Society,,vMPG6MGnijsu8tbJnDstLN,10494,e5690072-d285-4c81-88f1-409ee6996a43,2021-02-02T15:53:48,,2,0,GUY,Yes,SA Tool
